Input file name: Sed100_Sample_In.csv
Delta x, Delta y, Delta d, time to look ahead: 
  5, 500,   0.300,   0.301
Part. #, ID 1st image, # images, ave. time, ave. x, ave. dia., slope, rms residuals
    42,      197,        4,        16.88,  764.38,    5.72,    4.27e+03,            506,
    43,      198,        4,        16.88,  773.00,    5.37,    4.29e+03,            510,
    44,      199,        6,        17.02,  618.00,    5.50,       1e+03,            308,
    45,      209,        4,        16.92,  649.25,    5.37,    4.17e+03,            375,
    46,      210,        4,        16.92,  748.25,    5.52,    4.14e+03,            373,
    47,      220,        3,        16.94,  484.33,    5.37,    4.81e+03,           61.8,
    48,      229,        4,        17.01,  527.25,    5.90,    4.32e+03,            179,
    49,      230,        5,        17.04,  636.40,    5.34,    4.08e+03,            219,
    50,      237,        4,        17.06,  559.12,    5.35,    3.78e+03,            254,
    51,      238,        5,        17.08,  436.10,    5.00,    3.71e+03,            146,
    52,      245,        5,        17.13,  723.00,    4.70,    3.87e+03,            228,
    53,      246,        6,        17.21,  621.00,    5.54,    1.48e+03,            283,
    54,      247,        6,        17.17,  738.25,    4.59,    2.17e+03,            536,
    55,      263,        5,        17.22,  853.10,    5.17,    4.02e+03,            236,
    56,      264,        5,        17.22,  647.70,    5.79,    3.99e+03,            234,
    57,      272,        4,        17.25,  662.62,    5.22,    3.94e+03,            389,
    58,      273,        4,        17.25,  825.38,    4.99,     3.9e+03,            386,
    59,      282,        4,        17.29,  546.62,    5.83,    3.93e+03,            489,
    60,      283,        4,        17.29,  404.12,    5.29,    3.95e+03,            493,
    61,      284,        3,        17.27,  621.83,    4.70,    3.24e+03,            277,
    62,      285,        5,        17.31,  497.60,    5.44,    4.58e+03,            469,
    63,      295,        3,        17.31,  741.00,    4.74,    4.33e+03,       1.16e+03,
    64,      314,        4,        17.42,  559.12,    4.92,    4.24e+03,            542,
    65,      315,        4,        17.48,  628.62,    5.82,    1.08e+03,            642,
    66,      323,        4,        17.46,  820.50,    5.72,     3.5e+03,            268,
    67,      327,        5,        17.58,  428.90,    5.78,    1.56e+03,            380,
    68,      328,        4,        17.51,  760.75,    4.85,    3.57e+03,            291,
    69,      329,        4,        17.51,  659.38,    4.83,    3.58e+03,            294,
    70,      330,        5,        17.53,  874.80,    4.72,    3.75e+03,            212,
    71,      338,        5,        17.58,  686.10,    5.09,    4.08e+03,           74.8,
    72,      339,        5,        17.58,  730.00,    4.93,    4.07e+03,           74.7,
    73,      347,        5,        17.63,  801.00,    5.33,    3.96e+03,           78.4,
    74,      348,        5,        17.63,  807.70,    4.87,    3.95e+03,           78.2,
    75,      349,        5,        17.63,  470.80,    5.91,    3.89e+03,           78.5,
    76,      362,        4,        17.65,  478.88,    5.48,     3.9e+03,            123,
    77,      363,        4,        17.65,  496.25,    4.69,    3.83e+03,            123,
    78,      364,        5,        17.68,  632.60,    5.38,    3.09e+03,            367,
    79,      365,        3,        17.63,  634.50,    5.41,    3.97e+03,            254,
    80,      379,        4,         17.7,  608.62,    5.70,       4e+03,            184,
    81,      390,        6,        17.81,  431.42,    5.78,     2.9e+03,            224,
    82,      400,        4,        17.81,  751.62,    5.83,    4.66e+03,           87.6,
    83,      405,        3,        17.84,  792.83,    5.88,    4.68e+03,            184,
    85,      407,        3,        17.84,  572.67,    5.37,    4.79e+03,            191,
    86,      408,        5,        17.93,  381.70,    5.28,    1.72e+03,            683,
    87,      415,        3,         17.9,  589.00,    5.50,    3.63e+03,            134,
    88,      416,        4,        17.92,  768.88,    4.46,    3.78e+03,           96.5,
    89,      417,        4,        17.92,  514.25,    4.53,    3.62e+03,           96.3,
    90,      418,        4,        17.92,  613.88,    4.62,    3.78e+03,           99.2,
    91,      419,        4,        17.92,  760.25,    5.09,     3.7e+03,           96.6,
    92,      420,        4,        17.92,  623.88,    6.21,    3.64e+03,           96.3,
    93,      421,        5,        17.94,  734.10,    6.35,    3.98e+03,            184,
    94,      422,        5,        17.94,  823.90,    6.00,    4.02e+03,            185,
    95,      436,        5,        17.99,  875.60,    5.96,    3.97e+03,            186,
    96,      437,        5,        17.99,  771.10,    6.09,    3.98e+03,            186,
    97,      438,        5,        17.99,  833.60,    5.84,    3.99e+03,            182,
    98,      466,        4,        18.06,  532.75,    5.99,    3.65e+03,            298,
    99,      467,        5,        18.09,  378.40,    5.74,    2.69e+03,            448,
   100,      478,        4,         18.1,  873.50,    5.32,    3.92e+03,            414,
   101,      479,        4,         18.1,  547.50,    6.14,    3.83e+03,            403,
   102,      480,        5,        18.13,  776.50,    4.74,    4.28e+03,            298,
   103,      490,        3,        18.13,  380.33,    5.32,    4.52e+03,            591,
   104,      498,        4,         18.2,  793.00,    4.43,    4.41e+03,            266,
   105,      509,        5,        18.31,  426.50,    6.12,     3.7e+03,            285,
   106,      514,        4,        18.33,  639.88,    6.11,    4.02e+03,            522,
   107,      515,        5,        18.35,  836.60,    5.66,    4.29e+03,            325,
   108,      516,        5,        18.35,  778.50,    5.24,    4.35e+03,            332,
   109,      517,        5,        18.35,  508.20,    5.37,    4.34e+03,            331,
   110,      525,        5,         18.4,  706.10,    4.90,    4.32e+03,            326,
   111,      532,        5,        18.44,  754.50,    4.49,    4.19e+03,            326,
   112,      533,        6,        18.46,  748.42,    5.11,    3.55e+03,            423,
   113,      534,        5,        18.44,  598.30,    5.75,    4.16e+03,            324,
   114,      544,        4,        18.46,  544.25,    5.82,    3.69e+03,            249,
   115,      545,        6,        18.57,  436.33,    5.88,     1.3e+03,            362,
   116,      546,        4,        18.46,  713.12,    5.66,    3.77e+03,            254,
   117,      547,        5,        18.49,  527.50,    4.89,    3.96e+03,            190,
   118,      548,        4,        18.46,  750.88,    6.07,    3.69e+03,            254,
   119,      564,        4,        18.51,  506.12,    4.52,    3.85e+03,            322,
   120,      565,        5,        18.53,  774.00,    6.37,    4.25e+03,            218,
   121,      578,        4,        18.56,  456.62,    4.76,    4.38e+03,           36.2,
   122,      579,        5,        18.59,  826.50,    4.66,     2.9e+03,            700,
   123,      580,        4,        18.56,  695.88,    4.67,     4.6e+03,           36.1,
   124,      595,        4,         18.6,  445.88,    4.68,    4.19e+03,           79.2,
   125,      596,        5,        18.63,  467.50,    5.97,    3.74e+03,            209,
   126,      611,        4,        18.65,  682.25,    5.91,    3.78e+03,            311,
   127,      612,        3,        18.63,  829.00,    5.87,     4.3e+03,            154,
   128,      613,        5,        18.67,  735.70,    6.10,     3.5e+03,            177,
   129,      614,        5,        18.67,  864.40,    5.83,    3.62e+03,            181,
   130,      615,        5,        18.67,  549.10,    4.54,    3.64e+03,            186,
   131,      616,        5,        18.67,  557.40,    4.63,     3.7e+03,            190,
   132,      629,        6,        18.76,  795.50,    5.22,    2.28e+03,            318,
   133,      630,        3,        18.67,  434.00,    6.44,    3.16e+03,            334,
   134,      631,        5,        18.72,  876.60,    4.56,    3.52e+03,            213,
   135,      646,        5,        18.77,  534.50,    5.08,    4.06e+03,            251,
   136,      659,        3,        18.77,  795.00,    5.25,    4.46e+03,            440,
   137,      660,        6,        18.85,  751.17,    6.16,    2.49e+03,            604,
   138,      671,        4,        18.83,  475.62,    5.58,    4.61e+03,            166,
   139,      672,        4,        18.83,  368.12,    5.77,     4.5e+03,            166,
   140,      681,        5,         18.9,  756.70,    4.99,    4.57e+03,            178,
   141,      688,        4,        18.92,  763.38,    4.91,    4.74e+03,            268,
   142,      689,        5,        18.94,  546.00,    4.71,    4.68e+03,            147,
   143,      700,        4,        18.96,  381.62,    5.90,    4.75e+03,            217,
   144,      701,        3,        18.94,  754.50,    6.42,    4.67e+03,            483,
   145,      702,        4,        18.96,  921.50,    4.61,    4.65e+03,            212,
   146,      712,        4,        19.01,  509.38,    6.03,    4.04e+03,            455,
   147,      713,        4,        19.01,  806.38,    5.21,    4.28e+03,            482,
   148,      714,        5,        19.03,  884.30,    4.55,    3.67e+03,            339,
   149,      715,        5,        19.03,  430.10,    4.69,    3.72e+03,            343,
   150,      727,        4,        19.05,  375.25,    5.99,    3.22e+03,            271,
   151,      728,        5,        19.08,  845.70,    6.13,    3.41e+03,            190,
   152,      729,        5,        19.08,  529.10,    6.10,    3.42e+03,            190,
   153,      730,        5,        19.08,  409.30,    4.90,    3.47e+03,            197,
   154,      731,        5,        19.08,  609.50,    4.62,    3.25e+03,            183,
   155,      746,        5,        19.17,  689.50,    5.62,    1.42e+03,            388,
   156,      747,        4,         19.1,  783.62,    5.25,    3.15e+03,            287,
   157,      762,        4,        19.16,  569.00,    5.61,    4.06e+03,            189,
   158,      776,        4,        19.22,  447.88,    6.08,    3.94e+03,            117,
   159,      777,        5,        19.33,  717.70,    5.33,    1.77e+03,            313,
   160,      778,        4,        19.22,  779.00,    5.28,    4.14e+03,            123,
   161,      790,        4,        19.32,  869.88,    4.87,    1.42e+03,            748,
   162,      791,        4,        19.28,  769.00,    4.94,    3.39e+03,           58.5,
   163,      792,        4,        19.28,  928.38,    5.05,    3.81e+03,           64.9,
   164,      793,        4,        19.28,  668.88,    5.01,       4e+03,           72.6,
   165,      798,        2,        19.29,  719.00,    7.12,    3.26e+03,          1e+10,
   166,      803,        3,        19.31,  773.33,    5.20,    3.88e+03,            177,
   167,      804,        3,        19.31,  433.50,    4.68,    3.75e+03,            173,
   168,      805,        4,        19.34,  456.12,    4.44,    3.88e+03,            161,
   169,      806,        4,        19.34,  448.75,    6.33,    3.81e+03,            161,
   170,      807,        5,        19.36,  397.60,    6.00,    4.46e+03,            291,
   171,      808,        5,        19.36,  889.20,    5.00,     4.5e+03,            295,
   172,      823,        3,        19.36,  686.17,    4.58,    4.18e+03,            147,
   173,      824,        5,         19.4,  653.60,    5.12,    4.78e+03,            267,
   174,      840,        4,        19.42,  900.25,    4.34,    4.54e+03,            439,
   176,      842,        5,        19.44,  705.80,    6.18,     4.3e+03,            365,
   177,      843,        4,        19.42,  865.62,    4.69,    4.48e+03,            432,
   178,      844,        5,        19.44,  491.40,    5.37,     4.4e+03,            377,
   179,      857,        5,        19.49,  851.00,    5.08,    3.92e+03,            295,
   180,      858,        6,        19.55,  834.75,    4.58,    1.37e+03,            510,
   181,      871,        5,        19.53,  642.90,    4.73,    3.29e+03,            136,
   182,      882,        6,        19.62,  382.33,    5.66,    2.08e+03,            562,
   183,      893,        4,         19.6,  595.62,    4.98,     4.3e+03,           29.5,
   184,      894,        5,        19.63,  665.80,    6.21,    3.87e+03,            114,
   185,      903,        4,        19.65,  889.38,    6.12,    3.82e+03,            184,
   186,      904,        4,        19.65,  419.75,    5.03,    3.75e+03,            187,
   187,      905,        5,        19.67,  391.50,    4.93,    3.82e+03,            108,
   188,      906,        5,        19.67,  356.20,    5.91,    3.89e+03,            111,
   189,      915,        4,         19.7,  877.88,    4.30,    3.79e+03,            167,
   190,      916,        4,         19.7,  873.62,    4.45,    3.82e+03,            171,
   191,      917,        5,        19.72,  717.80,    4.57,    4.15e+03,            245,
   192,      929,        4,        19.74,  534.25,    6.10,    4.32e+03,            393,
   193,      930,        4,        19.74,  772.50,    6.09,    4.37e+03,            398,
   194,      931,        5,        19.77,  513.20,    6.09,    4.32e+03,            228,
   195,      932,        4,        19.74,  832.50,    4.84,    3.88e+03,            349,
   196,      933,        4,        19.74,  384.25,    5.88,    4.42e+03,            401,
   197,      949,        4,        19.79,  328.38,    5.90,    4.69e+03,            220,
   198,      950,        5,        19.81,  877.60,    6.29,    4.05e+03,            342,
   199,      951,        5,        19.81,  603.80,    4.63,    4.29e+03,            361,
   200,      952,        5,        19.81,  917.40,    6.01,    4.05e+03,            341,
   201,      953,        5,        19.81,  876.10,    6.56,    3.94e+03,            333,
   202,      970,        5,        19.86,  704.00,    4.47,    3.77e+03,            273,
   203,      971,        5,        19.86,  900.00,    5.97,     3.9e+03,            332,
   204,      972,        5,        19.86,  704.30,    4.82,    3.72e+03,            374,
   205,      989,        4,        19.88,  797.75,    6.80,    3.31e+03,            338,
   206,      990,        5,         19.9,  727.60,    4.39,    3.49e+03,            195,
   207,      991,        5,         19.9,  779.80,    6.03,    3.58e+03,            202,
   208,      992,        6,        19.93,  589.33,    4.68,    3.55e+03,            227,
   209,     1009,        5,        19.95,  578.50,    4.65,    4.05e+03,            379,
   210,     1010,        5,        19.95,  465.10,    4.73,    3.98e+03,            374,
   211,     1027,        5,        19.99,  922.30,    5.88,    4.15e+03,            275,
   212,     1028,        6,        20.01,  353.83,    5.13,    3.66e+03,            357,
   213,     1041,        5,        20.03,  745.50,    6.48,    3.97e+03,            254,
   214,     1042,        4,        20.01,  350.50,    5.84,    4.09e+03,            441,
   215,     1043,        5,        20.03,  665.30,    5.19,    4.23e+03,            268,
   216,     1044,        5,        20.03,  378.60,    6.35,    3.91e+03,            249,
   217,     1060,        4,        20.06,  582.00,    5.71,    4.27e+03,            493,
   218,     1061,        5,        20.09,  433.50,    4.84,    2.59e+03,            617,
   219,     1062,        4,        20.06,  507.62,    4.51,    4.13e+03,            477,
   220,     1063,        5,        20.08,  645.60,    6.33,    4.03e+03,            254,
   221,     1080,        4,         20.1,  439.12,    4.64,    3.67e+03,            239,
   222,     1081,        6,        20.16,  628.33,    4.50,    2.37e+03,            262,
   223,     1082,        4,         20.1,  594.25,    6.56,     3.6e+03,            230,
   224,     1083,        4,         20.1,  933.38,    5.97,    3.72e+03,            250,
   225,     1084,        5,        20.12,  336.30,    5.29,    3.99e+03,            179,
   226,     1085,        5,        20.12,  538.70,    4.80,    4.13e+03,            181,
   227,     1086,        4,         20.1,  433.12,    6.01,    3.88e+03,            254,
   228,     1106,        4,        20.15,  326.88,    5.16,    4.24e+03,           26.5,
   229,     1107,        5,        20.17,  385.20,    4.71,    4.21e+03,           29.3,
   230,     1108,        4,        20.15,  690.25,    4.58,    4.43e+03,           31.4,
   231,     1129,        3,        20.17,  629.83,    4.45,    4.19e+03,           31.8,
   232,     1130,        5,        20.22,  812.70,    4.53,    4.02e+03,            254,
   233,     1146,        4,        20.24,  652.50,    5.68,     3.9e+03,            406,
   235,     1148,        4,        20.24,  439.12,    5.48,    3.91e+03,            405,
   236,     1164,        3,        20.26,  773.83,    4.56,    3.39e+03,            657,
   237,     1165,        4,         20.3,  542.25,    5.37,    3.67e+03,            227,
   238,     1166,        5,        20.36,  410.00,    6.04,    1.87e+03,            500,
   239,     1167,        4,         20.3,  755.62,    6.75,     3.4e+03,            210,
   240,     1181,        3,        20.33,  362.83,    6.11,    3.45e+03,            382,
   241,     1182,        4,        20.36,  921.00,    5.02,    3.76e+03,            302,
   242,     1183,        5,        20.43,  914.60,    4.73,    1.64e+03,            564,
   243,     1184,        4,        20.36,  865.88,    4.76,    3.81e+03,            305,
   244,     1206,        3,        20.45,  577.00,    4.55,    5.06e+03,            180,
   245,     1207,        4,        20.47,  873.88,    4.49,    4.23e+03,            232,
   246,     1208,        4,        20.47,  804.50,    6.56,     4.4e+03,            241,
   247,     1209,        4,        20.47,  628.50,    4.60,    4.36e+03,            245,
   248,     1222,        4,        20.51,  434.12,    5.43,     4.4e+03,            126,
   249,     1223,        4,        20.55,  406.00,    4.93,    1.39e+03,            434,
   250,     1224,        3,        20.49,  624.17,    5.31,    4.24e+03,            209,
   251,     1225,        5,        20.53,  750.40,    5.95,    3.87e+03,            158,
   252,     1226,        5,        20.53,  791.50,    6.07,    4.65e+03,            192,
   253,     1238,        5,        20.58,  651.50,    6.30,    4.06e+03,            190,
   254,     1248,        4,         20.6,  917.25,    5.49,    4.51e+03,            364,
   255,     1249,        5,        20.62,  795.00,    4.56,    3.87e+03,            351,
   257,     1259,        5,        20.67,  657.10,    4.95,     3.1e+03,            241,
   258,     1260,        5,        20.67,  947.50,    5.56,    3.51e+03,            270,
   259,     1261,        5,        20.67,  594.80,    4.64,    3.24e+03,            251,
   260,     1262,        5,        20.67,  533.70,    6.15,    3.42e+03,            267,
   261,     1274,        4,        20.69,  685.62,    4.30,    3.29e+03,            273,
   262,     1275,        3,        20.67,  403.83,    5.74,    2.91e+03,            167,
   263,     1276,        5,        20.72,  508.30,    4.57,    3.44e+03,            221,
   264,     1277,        5,        20.72,  793.60,    4.98,    3.09e+03,            201,
   265,     1278,        5,        20.72,  574.80,    4.89,    3.67e+03,            232,
   266,     1279,        5,        20.72,  880.20,    4.56,    3.42e+03,            219,
   267,     1280,        5,        20.72,  704.30,    5.62,    3.65e+03,            231,
   268,     1281,        5,        20.72,  664.90,    6.47,    3.39e+03,            218,
   269,     1312,        5,        20.81,  638.80,    4.51,    3.85e+03,            125,
   270,     1313,        5,        20.81,  679.20,    4.83,    4.17e+03,            132,
   271,     1314,        5,        20.81,  722.40,    5.98,    4.07e+03,            128,
   272,     1315,        5,        20.81,  872.20,    5.02,    4.06e+03,            131,
   273,     1333,        5,        20.86,  485.80,    6.34,     3.4e+03,           79.8,
   274,     1334,        5,        20.86,  786.60,    5.70,    3.53e+03,           85.6,
   275,     1350,        4,        20.88,  597.62,    6.24,    3.59e+03,           99.1,
   276,     1351,        4,        20.88,  683.62,    4.57,    3.74e+03,            106,
   277,     1352,        4,        20.88,  312.00,    5.52,    3.56e+03,           99.7,
   278,     1353,        4,        20.88,  840.50,    6.24,    3.61e+03,            101,
   279,     1354,        5,        20.92,  946.10,    5.32,    2.95e+03,            209,
   280,     1369,        3,         20.9,  654.00,    4.53,    3.45e+03,            138,
   281,     1370,        4,        20.93,  519.75,    4.66,     4.3e+03,            378,
   282,     1371,        4,        20.93,  748.12,    5.51,    4.64e+03,            411,
   283,     1388,        3,        20.96,  364.17,    5.91,     4.9e+03,            475,
   284,     1389,        3,        20.96,  941.17,    5.25,    4.79e+03,            463,
   285,     1403,        4,        21.05,  858.12,    5.76,    4.25e+03,            460,
   286,     1404,        4,        21.05,  351.25,    6.09,    4.09e+03,            445,
   287,     1405,        4,        21.05,  795.38,    4.62,     4.3e+03,            467,
   288,     1406,        4,        21.05,  476.88,    5.62,    4.32e+03,            468,
   289,     1417,        5,        21.19,  712.30,    5.64,         862,            288,
   290,     1418,        3,        21.08,  720.83,    6.99,    3.03e+03,            336,
   291,     1419,        3,        21.08,  498.17,    5.06,    3.25e+03,            353,
   292,     1420,        4,         21.1,  798.88,    7.84,    3.36e+03,            237,
   293,     1421,        4,         21.1,  850.62,    5.52,    3.55e+03,            252,
   294,     1422,        4,         21.1,  379.00,    5.59,    3.52e+03,            247,
   295,     1423,        4,         21.1,  451.38,    6.40,    3.18e+03,            225,
   296,     1424,        5,        21.12,  420.20,    6.39,    3.44e+03,            176,
   297,     1425,        5,        21.12,  646.70,    6.24,    3.59e+03,            183,
   298,     1426,        4,         21.1,  788.75,    5.70,     3.6e+03,            254,
   299,     1427,        5,        21.12,  639.80,    6.05,    3.77e+03,            193,
   300,     1428,        5,        21.12,  468.70,    4.65,    3.62e+03,            184,
   301,     1450,        4,        21.15,  779.00,    6.40,    4.09e+03,             69,
   302,     1451,        4,        21.15,  543.88,    5.08,    4.19e+03,           71.1,
   303,     1452,        5,        21.17,  582.70,    6.34,    4.07e+03,           93.5,
   304,     1472,        4,        21.19,  710.38,    5.94,    4.42e+03,            122,
   305,     1473,        5,        21.22,  819.60,    5.27,    4.14e+03,            177,
   306,     1474,        6,        21.25,  850.25,    6.13,    3.12e+03,            431,
   307,     1475,        5,        21.22,  327.40,    5.17,    3.93e+03,            169,
   308,     1496,        4,        21.24,  633.38,    4.54,    4.09e+03,            311,
   309,     1497,        4,        21.24,  430.12,    6.21,    3.62e+03,            272,
   310,     1498,        6,        21.33,  866.08,    4.85,    1.52e+03,            419,
   311,     1499,        5,        21.26,  571.20,    5.51,    4.06e+03,            179,
   312,     1518,        4,        21.29,  915.75,    5.11,    3.75e+03,            241,
   313,     1519,        4,        21.29,  686.25,    4.38,    3.79e+03,            249,
   314,     1520,        4,        21.29,  850.50,    6.90,    3.39e+03,            216,
   315,     1521,        4,        21.29,  921.62,    5.85,    3.71e+03,            239,
   316,     1522,        4,        21.29,  712.88,    6.29,     3.6e+03,            231,
   317,     1523,        4,        21.29,  500.50,    5.49,    3.89e+03,            254,
   318,     1524,        5,        21.31,  316.20,    5.43,    4.04e+03,            263,
   319,     1525,        5,        21.31,  459.60,    6.37,    3.79e+03,            249,
   320,     1526,        5,        21.31,  616.80,    4.69,    4.06e+03,            266,
   321,     1548,        4,        21.33,  898.62,    4.59,     3.8e+03,            419,
   322,     1568,        5,         21.4,  562.00,    5.92,     4.1e+03,            329,
   323,     1569,        5,         21.4,  349.50,    4.81,    4.01e+03,            326,
   324,     1570,        5,         21.4,  908.30,    4.98,    4.23e+03,            344,
   325,     1587,        3,         21.4,  863.00,    6.07,    4.91e+03,            485,
   326,     1588,        5,        21.45,  623.40,    4.91,    4.15e+03,            347,
   327,     1589,        5,        21.45,  672.40,    4.46,    3.89e+03,            326,
   328,     1590,        6,        21.47,  842.33,    5.21,     3.4e+03,            199,
   329,     1606,        4,        21.47,  613.50,    4.44,    3.61e+03,            350,
   330,     1608,        5,        21.49,  728.70,    4.42,    3.91e+03,            301,
   331,     1621,        6,        21.66,  348.67,    5.53,         972,            274,
   332,     1622,        5,        21.53,  658.80,    6.55,    3.74e+03,            284,
   333,     1623,        6,        21.59,  539.75,    6.25,    1.64e+03,            477,
   334,     1636,        5,        21.58,  909.40,    5.03,    4.34e+03,            236,
   335,     1637,        5,        21.58,  925.40,    4.69,    4.24e+03,            232,
   336,     1650,        4,         21.6,  587.25,    4.43,    4.09e+03,            255,
   337,     1659,        5,        21.67,  647.30,    5.64,    3.82e+03,            185,
   338,     1660,        6,         21.7,  609.83,    4.66,    2.56e+03,            328,
   339,     1661,        5,        21.67,  747.20,    7.03,    3.22e+03,            158,
   340,     1662,        5,        21.67,  454.10,    5.18,     3.8e+03,            184,
   341,     1675,        4,        21.69,  339.12,    5.74,    3.62e+03,            308,
   342,     1676,        4,        21.69,  973.25,    5.16,    3.43e+03,            299,
   343,     1677,        4,        21.69,  374.38,    5.33,    3.69e+03,            311,
   344,     1678,        5,        21.72,  828.50,    4.40,    3.84e+03,            236,
   345,     1679,        5,        21.72,  527.60,    5.77,    3.94e+03,            241,
   346,     1680,        5,        21.72,  930.70,    4.74,    3.87e+03,            239,
   347,     1681,        5,        21.72,  795.50,    4.62,    3.84e+03,            235,
   348,     1702,        6,        21.79,  795.17,    6.20,    3.09e+03,            382,
   349,     1703,        4,        21.74,  572.00,    4.55,    4.29e+03,            309,
   350,     1704,        4,        21.74,  853.75,    6.55,     4.1e+03,            295,
   351,     1705,        4,        21.74,  824.25,    4.63,    4.05e+03,            291,
   352,     1706,        4,        21.74,  559.75,    5.77,    4.36e+03,            315,
   353,     1707,        5,         21.8,  345.90,    5.17,    1.61e+03,            547,
   354,     1708,        5,        21.76,  521.30,    4.54,    3.96e+03,            160,
   355,     1709,        6,        21.82,  637.17,    5.61,    1.71e+03,            561,
   356,     1710,        4,        21.74,  537.38,    5.85,    4.33e+03,            310,
   357,     1736,        3,        21.76,  792.00,    6.77,    4.55e+03,            196,
   358,     1737,        4,        21.79,  474.62,    5.90,    4.61e+03,            163,
   359,     1738,        3,        21.76,  610.17,    4.74,    4.84e+03,            221,
   360,     1739,        5,        21.81,  543.50,    4.44,    4.12e+03,            216,
   361,     1764,        5,        21.86,  819.10,    5.47,     3.8e+03,            178,
   362,     1765,        5,        21.86,  942.00,    4.86,    3.64e+03,            172,
   363,     1766,        5,        21.86,  595.80,    5.29,    3.87e+03,            182,
   364,     1767,        5,        21.86,  611.50,    6.06,    3.62e+03,            171,
   365,     1794,        5,         21.9,  901.80,    4.55,    3.27e+03,            112,
   366,     1795,        5,        21.95,  666.30,    5.24,    1.51e+03,            418,
   367,     1796,        5,         21.9,  464.40,    4.60,    3.59e+03,            122,
   368,     1797,        5,         21.9,  892.10,    4.86,    3.64e+03,            123,
   369,     1798,        5,         21.9,  530.00,    5.72,     3.7e+03,            124,
   370,     1819,        4,        21.93,  821.88,    6.70,    3.55e+03,            207,
   371,     1820,        5,        21.95,  697.40,    5.47,    4.02e+03,            257,
   372,     1821,        5,        21.95,  807.20,    5.15,    4.03e+03,            258,
   373,     1822,        6,        21.97,  652.33,    4.90,    3.46e+03,            184,
   374,     1823,        4,        21.93,  611.00,    4.47,    3.46e+03,            192,
   375,     1824,        4,        21.93,  345.38,    6.40,    3.38e+03,            194,
   376,     1825,        5,        21.95,  549.00,    5.99,    3.97e+03,            253,
   377,     1826,        5,        21.95,  620.10,    5.51,    4.06e+03,            266,
   378,     1851,        4,        21.97,  749.75,    4.62,    4.34e+03,            281,
   379,     1852,        5,        21.99,  840.70,    4.61,     4.5e+03,            217,
   380,     1853,        6,        22.02,  872.92,    6.46,    3.15e+03,            387,
