Input file name: Sed100_Sample_In.csv
Delta x, Delta y, Delta d, time to look ahead: 
  5, 500,   0.300,   0.301
Part. #, ID 1st image, # images, ave. time, ave. x, ave. dia., slope, rms residuals
     1,        1,        4,        15.35,  694.12,    5.11,    4.52e+03,            199,
     2,        5,        4,         15.7,  520.00,    5.56,    4.14e+03,            558,
     3,        8,        5,        15.81,  500.90,    5.31,    4.72e+03,            557,
     4,       12,        4,        15.83,  529.62,    4.96,     4.1e+03,            558,
     5,       16,        4,        15.87,  700.12,    5.02,    3.49e+03,            276,
     6,       20,        5,        15.94,  569.50,    7.01,    3.88e+03,            233,
     7,       21,        5,        15.94,  556.10,    5.33,    3.88e+03,            232,
     8,       27,        5,        15.99,  709.00,    5.09,    4.22e+03,           46.2,
     9,       33,        4,        16.01,  782.62,    4.95,    4.18e+03,           72.6,
    10,       34,        5,        16.04,  512.80,    5.22,    4.05e+03,           90.6,
    11,       40,        5,        16.08,  726.90,    4.86,    4.04e+03,           88.1,
    12,       47,        4,        16.11,  766.38,    4.69,    3.92e+03,            131,
    13,       55,        4,        16.15,  797.38,    4.84,    4.54e+03,            328,
    14,       63,        5,        16.27,  713.10,    5.55,    4.05e+03,            323,
    15,       68,        5,        16.32,  569.40,    5.46,    2.56e+03,            511,
    16,       71,        6,        16.46,  567.92,    5.18,    1.15e+03,            344,
    17,       75,        5,         16.4,  683.90,    4.90,    4.42e+03,            294,
    18,       83,        4,        16.47,  504.12,    4.90,    3.73e+03,            306,
    19,       84,        4,        16.47,  710.25,    4.86,    3.78e+03,            311,
    20,       85,        5,        16.54,  603.40,    5.32,    1.49e+03,            449,
    21,       91,        4,        16.51,  783.12,    4.50,    3.93e+03,            440,
    22,       92,        4,        16.51,  640.75,    5.00,    4.01e+03,            445,
    23,      101,        4,        16.56,  463.75,    5.76,    4.78e+03,            253,
    24,      102,        4,        16.56,  516.88,    5.94,    4.79e+03,            253,
    25,      110,        5,        16.67,  704.10,    5.19,    1.56e+03,            705,
    26,      111,        4,        16.61,  560.00,    5.87,    4.53e+03,            374,
    27,      121,        2,         16.6,  564.50,    6.02,    4.72e+03,          1e+10,
    28,      122,        5,        16.68,  814.30,    4.49,    3.73e+03,            138,
    29,      123,        5,        16.68,  476.80,    5.63,    3.75e+03,            140,
    30,      124,        5,        16.68,  758.00,    5.14,    3.79e+03,            142,
    31,      135,        6,        16.78,  485.83,    5.31,    1.21e+03,            408,
    32,      136,        4,         16.7,  599.88,    5.97,    3.51e+03,           63.6,
    33,      137,        5,        16.72,  653.80,    5.24,    3.73e+03,            103,
    34,      138,        5,        16.77,  487.40,    5.54,    1.42e+03,            414,
    35,      152,        4,        16.75,  694.50,    5.11,    3.86e+03,            122,
    36,      153,        4,        16.75,  697.88,    4.84,    3.85e+03,            120,
    37,      154,        4,        16.75,  504.75,    5.94,    3.78e+03,            116,
    38,      168,        5,        16.81,  576.90,    5.78,    4.31e+03,            290,
    39,      182,        3,        16.81,  706.67,    4.79,    5.25e+03,            768,
    40,      183,        4,        16.84,  672.88,    4.92,     4.5e+03,            519,
    41,      184,        4,        16.84,  842.88,    4.61,    4.45e+03,            510,
