Particle ID,Area (Filled),Capture X,Capture Y,Diameter (FD),Elapsed Time,Image Height,Image Width
160,18.42,749,600,4.84,16.72,16,19
161,23.61,475,553,5.48,16.72,16,20
162,26.49,590,449,5.81,16.72,17,20
163,23.03,644,436,5.42,16.72,16,20
164,25.33,478,372,5.68,16.72,17,20
165,22.46,685,340,5.35,16.72,18,19
166,20.15,689,320,5.07,16.72,18,17
167,27.64,494,289,5.93,16.72,17,21
168,31.67,565,113,6.35,16.72,18,21
169,23.61,696,21,5.48,16.72,19,18
170,18.42,558,914,4.84,16.77,16,18
171,13.24,808,869,4.11,16.77,15,15
172,22.46,468,850,5.35,16.77,16,20
173,16.12,749,789,4.53,16.77,16,18
174,22.46,476,739,5.35,16.77,16,20
175,29.94,591,635,6.17,16.77,18,20
176,20.15,645,625,5.07,16.77,16,19
177,24.76,479,561,5.61,16.77,16,20
178,17.27,685,531,4.69,16.77,15,18
179,18.42,689,510,4.84,16.77,16,19
180,29.94,494,473,6.17,16.77,17,21
181,29.36,566,299,6.11,16.77,18,21
182,17.85,697,211,4.77,16.77,17,18
183,19.58,664,155,4.99,16.77,17,16
184,19,833,150,4.92,16.77,18,17
185,26.49,754,38,5.81,16.77,19,19
186,20.15,476,950,5.07,16.82,14,20
187,20.15,591,848,5.07,16.82,16,20
188,17.27,645,838,4.69,16.82,16,18
189,21.88,479,773,5.28,16.82,16,20
190,18.42,686,744,4.84,16.82,15,19
191,14.97,691,722,4.37,16.82,16,16
192,24.18,495,682,5.55,16.82,16,21
193,25.91,567,510,5.74,16.82,16,20
194,19.58,697,425,4.99,16.82,16,19
195,19,665,368,4.92,16.82,17,16
196,16.12,835,362,4.53,16.82,16,17
197,29.36,754,250,6.11,16.82,18,20
198,24.76,763,175,5.61,16.82,18,19
199,26.49,605,148,5.81,16.82,19,20
200,14.39,692,937,4.28,16.85,16,15
201,24.18,496,893,5.55,16.85,16,20
202,21.88,567,722,5.28,16.85,17,21
203,16.7,699,640,4.61,16.85,16,17
204,19,665,584,4.92,16.85,16,16
205,16.12,835,574,4.53,16.85,16,17
206,28.21,754,463,5.99,16.85,18,20
207,25.91,763,389,5.74,16.85,18,20
208,30.52,605,361,6.23,16.85,18,21
209,24.76,639,185,5.61,16.85,18,19
210,26.49,738,146,5.81,16.85,19,19
211,23.03,568,859,5.42,16.9,16,20
212,13.82,699,779,4.19,16.9,15,16
213,18.42,665,722,4.84,16.9,17,17
214,15.55,835,711,4.45,16.9,16,16
215,22.46,755,602,5.35,16.9,16,19
216,21.3,763,528,5.21,16.9,16,20
217,27.06,606,498,5.87,16.9,18,20
218,24.76,639,324,5.61,16.9,17,20
219,27.64,738,284,5.93,16.9,18,20
220,24.76,474,43,5.61,16.9,18,19
221,17.85,666,920,4.77,16.94,17,16
222,13.82,836,907,4.19,16.94,15,17
223,23.03,755,797,5.42,16.94,18,20
224,19,764,725,4.92,16.94,16,19
225,23.03,607,695,5.42,16.94,16,20
226,23.03,640,522,5.42,16.94,18,19
227,23.03,740,482,5.42,16.94,17,18
228,23.03,475,241,5.42,16.94,17,19
229,29.36,516,140,6.11,16.94,19,21
230,24.18,626,70,5.55,16.94,18,19
231,22.46,607,929,5.35,16.99,16,20
232,18.42,640,760,4.84,16.99,16,20
233,19,739,718,4.92,16.99,16,19
234,20.15,475,478,5.07,16.99,15,20
235,27.06,517,373,5.87,16.99,18,20
236,25.33,626,307,5.68,16.99,18,20
237,25.33,548,217,5.68,16.99,18,20
238,25.33,425,137,5.68,16.99,18,20
239,17.27,741,947,4.69,17.04,16,18
240,17.27,476,708,4.69,17.04,15,18
241,27.64,517,601,5.93,17.04,16,21
242,22.46,627,540,5.35,17.04,16,20
243,26.49,549,448,5.81,17.04,18,20
244,20.15,427,367,5.07,17.04,17,19
245,21.88,713,115,5.28,17.04,18,18
246,27.06,608,75,5.87,17.04,18,20
247,21.88,728,43,5.28,17.04,18,17
248,14.39,477,849,4.28,17.08,15,17
249,25.33,518,740,5.68,17.08,16,20
250,21.88,627,682,5.28,17.08,16,20
251,19,550,592,4.92,17.08,16,19
252,17.85,427,508,4.77,17.08,16,18
253,21.3,714,256,5.21,17.08,18,18
254,28.79,608,215,6.05,17.08,19,20
255,17.85,728,185,4.77,17.08,17,17
256,19,518,895,4.92,17.13,16,19
257,18.42,628,840,4.84,17.13,16,17
258,19.58,550,750,4.99,17.13,16,20
259,17.85,427,664,4.77,17.13,16,18
260,15.55,714,415,4.45,17.13,16,17
261,28.79,609,371,6.05,17.13,18,20
262,18.42,728,344,4.84,17.13,16,19
263,22.46,842,93,5.35,17.13,18,19
264,25.33,637,60,5.68,17.13,19,19
265,16.12,551,949,4.53,17.18,15,18
266,17.27,428,863,4.69,17.18,15,18
267,13.82,716,613,4.19,17.18,16,15
268,27.64,609,569,5.93,17.18,17,21
269,15.55,729,543,4.45,17.18,16,17
270,24.76,843,291,5.61,17.18,18,19
271,27.06,637,256,5.87,17.18,18,20
272,23.61,652,133,5.48,17.18,17,19
273,21.3,816,127,5.21,17.18,18,18
274,26.49,535,25,5.81,17.18,19,20
275,14.97,716,830,4.37,17.22,16,16
276,24.18,610,785,5.55,17.22,16,20
277,13.24,731,761,4.11,17.22,15,16
278,20.73,844,506,5.14,17.22,18,19
279,28.79,638,469,6.05,17.22,19,20
280,21.3,653,352,5.21,17.22,17,19
281,21.3,816,344,5.21,17.22,18,17
282,28.21,535,239,5.99,17.22,18,21
283,24.18,394,124,5.55,17.22,18,19
284,21.3,613,89,5.21,17.22,18,17
285,24.76,487,57,5.61,17.22,19,20
286,13.24,731,953,4.11,17.27,11,16
287,20.15,844,698,5.07,17.27,16,19
288,27.64,638,660,5.93,17.27,17,20
289,21.3,653,547,5.21,17.27,16,20
290,18.42,816,538,4.84,17.27,15,19
291,30.52,536,428,6.23,17.27,17,21
292,24.76,394,314,5.61,17.27,17,20
293,16.12,614,276,4.53,17.27,16,16
294,27.06,487,251,5.87,17.27,18,20
295,20.15,732,169,5.07,17.27,18,17
296,17.27,846,839,4.69,17.32,16,17
297,23.03,639,799,5.42,17.32,18,20
298,19.58,654,690,4.99,17.32,16,19
299,17.27,818,679,4.69,17.32,16,17
300,23.61,537,568,5.48,17.32,17,20
301,21.3,395,455,5.21,17.32,16,19
302,14.97,614,414,4.37,17.32,16,16
303,25.33,488,394,5.68,17.32,17,20
304,17.27,732,313,4.69,17.32,16,17
305,24.18,548,36,5.55,17.32,18,19
306,31.09,617,16,6.29,17.32,20,20
307,16.7,654,908,4.61,17.35,16,18
308,14.39,818,896,4.28,17.35,15,16
309,24.76,537,781,5.61,17.35,16,21
310,17.85,396,669,4.77,17.35,16,17
311,13.82,616,623,4.19,17.35,16,15
312,21.3,488,613,5.21,17.35,16,20
313,15.55,734,530,4.45,17.35,16,16
314,23.61,549,255,5.48,17.35,17,19
315,27.64,617,231,5.93,17.35,19,20
316,27.06,811,35,5.87,17.35,20,18
317,16.7,396,908,4.61,17.39,15,18
318,13.24,617,856,4.11,17.39,16,15
319,18.42,489,856,4.84,17.39,16,18
320,13.24,735,772,4.11,17.39,15,15
321,19.58,549,500,4.99,17.39,15,20
322,28.79,618,471,6.05,17.39,17,20
323,32.82,810,275,6.46,17.39,18,20
324,17.85,550,724,4.77,17.44,16,18
325,25.33,618,692,5.68,17.44,17,21
326,27.64,811,496,5.93,17.44,18,19
327,27.06,417,193,5.87,17.44,18,21
328,21.88,751,186,5.28,17.44,18,17
329,21.88,649,185,5.28,17.44,18,19
330,23.03,864,95,5.42,17.44,18,19
331,15.55,552,850,4.45,17.49,16,16
332,20.73,619,816,5.14,17.49,16,18
333,21.88,811,621,5.28,17.49,16,19
334,29.36,418,316,6.11,17.49,18,21
335,20.73,751,312,5.14,17.49,17,19
336,19.58,650,311,4.99,17.49,17,19
337,17.85,866,218,4.77,17.49,17,17
338,21.88,676,111,5.28,17.49,18,19
339,19.58,721,44,4.99,17.49,17,16
340,21.3,811,783,5.21,17.53,16,20
341,27.06,418,479,5.87,17.53,16,21
342,17.85,650,477,4.77,17.53,15,19
343,16.12,753,476,4.53,17.53,16,17
344,16.7,866,380,4.61,17.53,16,18
345,21.3,676,276,5.21,17.53,17,19
346,20.15,721,208,5.07,17.53,17,17
347,25.33,791,129,5.68,17.53,18,19
348,17.27,799,118,4.69,17.53,16,16
349,31.09,459,108,6.29,17.53,19,21
350,29.36,467,33,6.11,17.53,19,20
351,23.61,485,13,5.48,17.53,18,19
352,27.06,619,0,5.87,17.53,17,20
353,14.39,652,682,4.28,17.58,15,16
354,22.46,419,682,5.35,17.58,16,20
355,15.55,752,681,4.45,17.58,15,19
356,14.97,867,581,4.37,17.58,16,17
357,22.46,676,482,5.35,17.58,16,20
358,19,722,413,4.92,17.58,17,16
359,27.06,791,332,5.87,17.58,18,19
360,19.58,799,320,4.99,17.58,17,16
361,27.64,460,309,5.93,17.58,17,21
362,27.06,468,238,5.87,17.58,18,20
363,21.88,486,214,5.28,17.58,17,19
364,29.94,620,201,6.17,17.58,18,20
365,25.33,624,43,5.68,17.58,19,19
366,14.97,653,901,4.37,17.63,16,16
367,16.12,754,899,4.53,17.63,16,17
368,21.3,420,898,5.21,17.63,16,18
369,15.55,867,796,4.45,17.63,16,17
370,20.73,677,702,5.14,17.63,16,19
371,18.42,722,633,4.84,17.63,16,17
372,23.03,791,550,5.42,17.63,18,20
373,17.85,800,537,4.77,17.63,17,16
374,29.36,460,523,6.11,17.63,17,21
375,24.18,468,458,5.55,17.63,16,21
376,18.42,487,430,4.84,17.63,16,17
377,25.91,620,418,5.74,17.63,18,20
378,21.88,625,264,5.28,17.63,18,19
379,27.06,598,109,5.87,17.63,19,20
380,15.55,679,879,4.45,17.68,16,16
381,18.42,723,809,4.84,17.68,17,16
382,19.58,791,727,4.99,17.68,15,20
383,18.42,800,712,4.84,17.68,16,16
384,25.91,461,695,5.74,17.68,17,21
385,23.03,469,633,5.42,17.68,16,20
386,15.55,488,602,4.45,17.68,16,17
387,25.33,621,595,5.68,17.68,16,20
388,21.88,626,441,5.28,17.68,17,19
389,27.64,598,284,5.93,17.68,18,20
390,28.21,418,66,5.99,17.68,19,21
391,17.27,793,884,4.69,17.72,16,18
392,20.15,800,869,5.07,17.72,17,17
393,23.61,462,850,5.48,17.72,16,20
394,20.15,470,792,5.07,17.72,16,20
395,13.82,490,757,4.19,17.72,16,15
396,24.76,621,752,5.61,17.72,16,20
397,20.73,626,602,5.14,17.72,16,19
398,27.64,599,442,5.93,17.72,18,20
399,27.64,419,224,5.93,17.72,18,20
400,27.64,741,65,5.93,17.72,19,20
401,13.82,629,831,4.19,17.77,15,15
402,20.15,600,671,5.07,17.77,16,19
403,27.06,419,451,5.87,17.77,16,21
404,29.36,741,290,6.11,17.77,18,20
405,28.21,782,198,5.99,17.77,18,20
406,33.4,421,155,6.52,17.77,20,21
407,23.61,562,153,5.48,17.77,18,19
408,25.91,371,98,5.74,17.77,18,20
409,25.33,421,891,5.68,17.86,16,20
410,28.79,742,728,6.05,17.86,18,20
411,33.4,783,635,6.52,17.86,18,20
412,24.18,563,601,5.55,17.86,17,20
413,28.21,423,586,5.99,17.86,18,21
414,23.03,373,535,5.42,17.86,16,20
415,27.06,579,435,5.87,17.86,18,20
416,16.7,759,360,4.61,17.86,17,17
417,17.85,505,309,4.77,17.86,17,17
418,20.15,604,304,5.07,17.86,17,19
419,20.73,751,231,5.14,17.86,17,17
420,29.36,613,225,6.11,17.86,18,21
421,36.27,723,155,6.8,17.86,20,21
422,31.67,813,108,6.35,17.86,19,20
423,21.3,743,847,5.21,17.89,16,19
424,20.73,784,754,5.14,17.89,16,19
425,20.15,564,722,5.07,17.89,16,19
426,27.64,423,703,5.93,17.89,16,21
427,19,373,652,4.92,17.89,15,20
428,24.18,579,555,5.55,17.89,16,20
429,17.85,761,477,4.77,17.89,18,17
430,17.27,605,423,4.69,17.89,16,17
431,16.12,505,423,4.53,17.89,16,17
432,20.15,752,346,5.07,17.89,17,16
433,31.09,613,339,6.29,17.89,18,21
434,32.82,723,271,6.46,17.89,18,21
435,30.52,813,224,6.23,17.89,19,21
436,29.36,865,95,6.11,17.89,19,20
437,27.06,760,86,5.87,17.89,18,20
438,26.49,823,73,5.81,17.89,18,20
439,22.46,784,924,5.35,17.94,17,20
440,16.12,564,897,4.53,17.94,15,18
441,19.58,425,872,4.99,17.94,16,19
442,18.42,374,822,4.84,17.94,16,17
443,20.15,580,728,5.07,17.94,16,18
444,14.97,761,651,4.37,17.94,16,16
445,15.55,605,596,4.45,17.94,15,17
446,16.12,506,588,4.53,17.94,16,17
447,20.73,752,515,5.14,17.94,17,17
448,27.06,614,505,5.87,17.94,18,20
449,28.79,724,438,6.05,17.94,19,20
450,35.12,814,393,6.69,17.94,18,20
451,31.67,865,264,6.35,17.94,19,20
452,33.4,761,256,6.52,17.94,18,20
453,27.64,823,244,5.93,17.94,18,20
454,31.67,521,27,6.35,17.94,20,21
455,18.42,580,936,4.84,17.99,16,20
456,13.24,762,857,4.11,17.99,16,15
457,14.39,607,802,4.28,17.99,16,16
458,14.39,508,786,4.28,17.99,16,15
459,19.58,753,717,4.99,17.99,17,16
460,33.97,614,704,6.58,17.99,18,21
461,35.12,724,640,6.69,17.99,18,21
462,20.73,814,598,5.14,17.99,16,20
463,29.36,866,468,6.11,17.99,18,19
464,35.12,761,459,6.69,17.99,18,20
465,29.36,824,448,6.11,17.99,18,19
466,30.52,521,229,6.23,17.99,18,22
467,29.36,366,126,6.11,17.99,19,21
468,23.61,863,23,5.48,17.99,18,19
469,20.15,753,926,5.07,18.03,17,17
470,20.73,617,910,5.14,18.03,18,18
471,25.91,725,848,5.74,18.03,18,20
472,24.76,815,807,5.61,18.03,16,20
473,26.49,866,679,5.81,18.03,16,20
474,25.33,761,671,5.68,18.03,16,21
475,30.52,824,658,6.23,18.03,18,20
476,30.52,522,436,6.23,18.03,17,21
477,27.64,367,337,5.93,18.03,17,21
478,26.49,863,235,5.81,18.03,18,20
479,29.94,536,167,6.17,18.03,19,21
480,21.3,766,71,5.21,18.03,18,17
481,15.55,817,953,4.45,18.08,11,18
482,23.03,867,825,5.42,18.08,16,19
483,25.33,762,816,5.68,18.08,18,20
484,20.73,825,806,5.14,18.08,17,19
485,25.33,523,581,5.68,18.08,16,20
486,27.64,367,484,5.93,18.08,16,21
487,23.03,864,383,5.42,18.08,17,19
488,31.67,537,312,6.35,18.08,19,21
489,23.03,767,221,5.42,18.08,18,18
490,22.46,370,112,5.35,18.08,17,20
491,20.73,784,7,5.14,18.08,18,15
492,26.49,523,757,5.81,18.13,16,21
493,24.76,368,663,5.61,18.13,16,21
494,24.76,864,564,5.61,18.13,18,19
495,30.52,537,490,6.23,18.13,17,21
496,16.7,768,406,4.61,18.13,16,18
497,24.18,370,294,5.55,18.13,16,20
498,15.55,784,181,4.45,18.13,16,16
499,23.61,369,889,5.48,18.17,16,20
500,15.55,866,794,4.45,18.17,16,16
501,26.49,538,714,5.81,18.17,17,21
502,13.82,769,638,4.19,18.17,15,17
503,20.15,371,523,5.07,18.17,15,20
504,14.39,785,398,4.28,18.17,16,15
505,25.33,539,941,5.68,18.22,17,20
506,14.39,770,873,4.28,18.22,16,15
507,20.73,372,755,5.14,18.22,15,20
508,15.55,786,619,4.45,18.22,16,15
509,32.24,414,77,6.41,18.22,20,22
510,23.61,629,29,5.48,18.22,17,20
511,21.3,372,945,5.21,18.27,16,18
512,16.12,786,801,4.53,18.27,16,16
513,32.82,415,261,6.46,18.27,19,22
514,30.52,629,220,6.23,18.27,19,21
515,26.49,826,148,5.81,18.27,18,19
516,26.49,768,138,5.81,18.27,18,19
517,25.33,497,98,5.68,18.27,18,20
518,24.76,695,9,5.61,18.27,18,19
519,16.12,786,914,4.53,18.31,16,16
520,28.21,416,376,5.99,18.31,18,21
521,29.36,629,339,6.11,18.31,18,21
522,28.79,826,267,6.05,18.31,18,20
523,24.18,768,259,5.55,18.31,18,20
524,25.91,497,219,5.74,18.31,18,21
525,21.88,696,131,5.28,18.31,18,19
526,29.36,416,544,6.11,18.36,16,21
527,30.52,630,513,6.23,18.36,18,20
528,29.94,826,442,6.17,18.36,18,20
529,24.76,769,436,5.61,18.36,17,19
530,24.76,498,396,5.61,18.36,17,20
531,20.15,696,309,5.07,18.36,17,19
532,19.58,745,114,4.99,18.36,18,18
533,24.76,737,80,5.61,18.36,18,19
534,26.49,587,43,5.81,18.36,19,20
535,24.76,419,741,5.61,18.39,17,19
536,27.06,630,719,5.87,18.39,19,21
537,19.58,828,650,4.99,18.39,16,19
538,17.85,769,647,4.77,18.39,16,19
539,21.88,499,606,5.28,18.39,16,20
540,20.15,697,520,5.07,18.39,16,19
541,17.27,745,324,4.69,18.39,16,17
542,24.18,738,289,5.55,18.39,18,19
543,30.52,588,250,6.23,18.39,19,20
544,30.52,533,183,6.23,18.39,19,21
545,27.64,425,147,5.93,18.39,19,21
546,23.03,703,145,5.42,18.39,18,19
547,23.03,517,107,5.42,18.39,17,19
548,28.79,740,94,6.05,18.39,19,20
549,20.73,496,16,5.14,18.39,18,17
550,26.49,417,946,5.81,18.44,16,21
551,20.73,631,934,5.14,18.44,17,20
552,15.55,771,864,4.45,18.44,15,18
553,21.88,829,863,5.28,18.44,16,18
554,16.12,501,823,4.53,18.44,16,17
555,16.12,697,738,4.53,18.44,15,18
556,15.55,745,540,4.45,18.44,16,19
557,17.85,739,508,4.77,18.44,16,18
558,27.64,588,466,5.93,18.44,16,21
559,24.18,534,396,5.55,18.44,16,20
560,29.36,703,361,6.11,18.44,18,20
561,27.64,426,358,5.93,18.44,17,21
562,19.58,518,322,4.99,18.44,17,19
563,32.24,740,306,6.41,18.44,18,21
564,20.15,496,223,5.07,18.44,17,18
565,37.07,763,48,6.87,18.44,20,20
566,20.15,447,5,5.07,18.44,18,17
567,16.12,699,877,4.53,18.49,16,16
568,14.39,747,678,4.28,18.49,16,16
569,17.27,739,647,4.69,18.49,16,17
570,26.49,589,601,5.81,18.49,18,20
571,26.49,534,532,5.81,18.49,16,21
572,23.61,703,501,5.48,18.49,16,20
573,31.09,426,493,6.29,18.49,17,21
574,19,518,461,4.92,18.49,16,18
575,32.24,741,441,6.41,18.49,18,20
576,17.27,497,355,4.69,18.49,17,17
577,35.12,763,188,6.69,18.49,19,21
578,20.15,447,137,5.07,18.49,18,18
579,21.3,816,127,5.21,18.49,18,18
580,19.58,686,108,4.99,18.49,17,17
581,20.15,436,0,5.07,18.49,16,17
582,12.67,748,869,4.02,18.53,15,15
583,15.55,741,839,4.45,18.53,16,16
584,19.58,590,792,4.99,18.53,17,18
585,25.33,535,719,5.68,18.53,16,20
586,24.76,704,692,5.61,18.53,16,20
587,26.49,427,680,5.81,18.53,16,21
588,18.42,519,651,4.84,18.53,16,17
589,23.03,742,630,5.42,18.53,16,20
590,12.67,499,539,4.02,18.53,15,15
591,28.21,764,382,5.99,18.53,17,20
592,19,448,320,4.92,18.53,17,17
593,16.12,817,318,4.53,18.53,17,16
594,17.27,687,299,4.69,18.53,18,17
595,20.15,436,181,5.07,18.53,17,18
596,34.55,455,129,6.63,18.53,20,22
597,27.06,671,26,5.87,18.53,19,20
598,28.79,818,20,6.05,18.53,18,19
599,20.73,535,941,5.14,18.58,16,21
600,19.58,704,918,4.99,18.58,16,20
601,24.18,427,900,5.55,18.58,16,21
602,14.39,521,876,4.28,18.58,16,16
603,24.76,742,851,5.61,18.58,16,20
604,14.39,500,754,4.28,18.58,16,15
605,28.79,765,608,6.05,18.58,18,19
606,13.82,818,544,4.19,18.58,15,16
607,16.12,448,535,4.53,18.58,16,17
608,16.7,687,526,4.61,18.58,16,19
609,19,437,396,4.92,18.58,16,17
610,29.94,456,340,6.17,18.58,18,22
611,29.94,671,251,6.17,18.58,18,21
612,31.09,819,244,6.29,18.58,19,19
613,30.52,725,206,6.23,18.58,19,20
614,32.82,854,184,6.46,18.58,19,19
615,19,539,170,4.92,18.58,18,17
616,19.58,547,139,4.99,18.58,17,19
617,30.52,765,838,6.23,18.63,18,20
618,13.24,819,771,4.11,18.63,15,15
619,14.97,689,755,4.37,18.63,16,16
620,16.12,449,753,4.53,18.63,16,17
621,14.97,438,613,4.37,18.63,16,17
622,28.79,457,552,6.05,18.63,18,21
623,28.21,672,479,5.99,18.63,17,20
624,28.79,819,471,6.05,18.63,18,20
625,29.94,725,423,6.17,18.63,19,21
626,28.79,854,409,6.05,18.63,18,20
627,16.12,541,397,4.53,18.63,16,16
628,19.58,548,370,4.99,18.63,16,19
629,27.06,785,223,5.87,18.63,18,19
630,33.97,423,206,6.58,18.63,19,21
631,19.58,868,203,4.99,18.63,18,16
632,14.39,819,930,4.28,18.67,16,16
633,12.67,690,916,4.02,18.67,15,15
