Particle ID,Area (Filled),Capture X,Capture Y,Diameter (FD),Elapsed Time,Image Height,Image Width
1,28.21,684,65,5.99,15.26,18,19
2,23.61,684,206,5.48,15.3,18,19
3,17.85,685,657,4.77,15.4,16,18
4,13.82,688,880,4.19,15.44,16,15
5,24.18,509,196,5.55,15.63,17,20
6,26.49,510,371,5.81,15.68,16,20
7,24.18,510,533,5.55,15.73,16,20
8,27.06,490,79,5.87,15.73,18,20
9,27.64,518,0,5.93,15.73,19,20
10,22.46,511,762,5.35,15.76,16,20
11,23.61,491,309,5.48,15.76,17,19
12,20.73,519,230,5.14,15.76,17,19
13,25.33,689,37,5.68,15.76,18,20
14,21.3,491,553,5.21,15.8,15,20
15,20.73,520,474,5.14,15.8,16,19
16,23.03,690,280,5.42,15.8,18,19
17,20.73,492,767,5.14,15.85,16,20
18,17.85,521,688,4.77,15.85,16,19
19,19.58,691,495,4.99,15.85,17,19
20,46.58,558,169,7.7,15.85,20,21
21,24.18,545,77,5.55,15.85,18,20
22,18.42,492,886,4.84,15.9,16,18
23,17.85,521,807,4.77,15.9,16,18
24,19.58,691,615,4.99,15.9,17,19
25,42.95,558,289,7.4,15.9,19,21
26,22.46,546,197,5.35,15.9,18,19
27,24.18,699,110,5.55,15.9,18,19
28,24.18,772,28,5.55,15.9,18,19
29,17.27,691,789,4.69,15.94,16,18
30,39.4,559,463,7.08,15.94,19,21
31,25.33,546,372,5.68,15.94,16,20
32,23.03,699,284,5.42,15.94,18,19
33,25.33,772,202,5.68,15.94,18,19
34,26.49,502,73,5.81,15.94,18,20
35,33.97,560,670,6.58,15.99,18,20
36,21.3,547,578,5.21,15.99,16,19
37,21.3,699,491,5.21,15.99,17,19
38,20.15,773,408,5.07,15.99,18,19
39,23.03,503,280,5.42,15.99,17,19
40,23.61,717,62,5.48,15.99,18,18
41,31.09,561,891,6.29,16.04,18,20
42,18.42,548,800,4.84,16.04,16,19
43,19,700,713,4.92,16.04,16,19
44,16.12,775,630,4.53,16.04,16,16
45,21.3,504,502,5.21,16.04,16,19
46,18.42,717,284,4.84,16.04,17,19
47,21.88,757,108,5.28,16.04,18,17
48,23.61,787,0,5.48,16.04,19,17
49,16.7,548,953,4.61,16.08,11,18
50,14.97,702,867,4.37,16.08,15,16
51,16.12,774,783,4.53,16.08,16,19
52,19.58,504,655,4.99,16.08,16,18
53,18.42,718,439,4.84,16.08,16,18
54,18.42,757,260,4.84,16.08,17,17
55,24.18,787,153,5.55,16.08,18,19
56,17.27,504,837,4.69,16.13,16,18
57,17.27,718,621,4.69,16.13,15,18
58,14.97,759,441,4.37,16.13,16,16
59,16.7,789,336,4.61,16.13,16,17
60,15.55,720,845,4.45,16.18,16,16
61,14.39,760,663,4.28,16.18,16,15
62,18.42,788,560,4.84,16.18,16,19
63,27.06,702,83,5.87,16.18,18,20
64,25.91,558,2,5.74,16.18,19,20
65,14.39,760,896,4.28,16.22,15,16
66,14.97,790,794,4.37,16.22,16,16
67,28.79,703,318,6.05,16.22,18,20
68,26.49,559,238,5.81,16.22,18,20
69,22.46,703,512,5.35,16.27,16,20
70,30.52,559,430,6.23,16.27,18,20
71,24.18,559,58,5.55,16.27,18,19
72,20.73,704,637,5.14,16.32,16,19
73,23.03,559,557,5.42,16.32,16,20
74,19.58,560,183,4.99,16.32,17,17
75,20.15,674,60,5.07,16.32,17,17
76,22.46,704,822,5.35,16.35,16,20
77,23.61,560,743,5.48,16.35,16,20
78,19,560,368,4.92,16.35,16,19
79,19.58,675,246,4.99,16.35,17,17
80,15.55,562,952,4.45,16.4,12,17
81,16.12,561,575,4.53,16.4,16,17
82,18.42,676,455,4.84,16.4,16,16
83,20.73,495,177,5.14,16.4,17,17
84,20.15,701,163,5.07,16.4,17,17
85,25.33,593,132,5.68,16.4,18,20
86,14.97,561,786,4.37,16.44,15,18
87,17.85,676,667,4.77,16.44,16,17
88,18.42,496,388,4.84,16.44,16,16
89,20.73,701,377,5.14,16.44,16,19
90,27.64,594,345,5.93,16.44,18,20
91,17.85,774,190,4.77,16.44,18,16
92,23.03,631,143,5.42,16.44,18,18
93,31.09,452,6,6.29,16.44,20,20
94,13.82,563,925,4.19,16.49,16,16
95,18.42,677,807,4.84,16.49,17,16
96,17.85,496,528,4.77,16.49,16,16
97,17.85,701,519,4.77,16.49,16,19
98,19,595,488,4.92,16.49,16,19
99,16.7,775,328,4.61,16.49,18,17
100,18.42,631,286,4.84,16.49,17,18
101,30.52,452,146,6.23,16.49,19,21
102,29.36,505,95,6.11,16.49,19,21
103,18.42,497,719,4.84,16.54,16,16
104,15.55,702,712,4.45,16.54,16,17
105,19.58,595,682,4.99,16.54,16,19
106,15.55,775,519,4.45,16.54,16,16
107,21.88,632,479,5.28,16.54,17,19
108,29.36,453,338,6.11,16.54,17,21
109,31.09,506,287,6.29,16.54,18,21
110,25.33,693,127,5.68,16.54,19,19
111,27.64,549,127,5.93,16.54,19,20
112,19,497,951,4.92,16.58,13,17
113,14.97,704,946,4.37,16.58,15,16
114,16.12,598,916,4.53,16.58,16,17
115,13.82,776,748,4.19,16.58,16,16
116,15.55,633,714,4.45,16.58,15,17
117,24.18,454,570,5.55,16.58,16,20
118,27.06,507,520,5.87,16.58,16,21
119,25.33,693,361,5.68,16.58,17,20
120,28.79,549,361,6.05,16.58,17,21
121,27.06,554,182,5.87,16.58,18,20
122,20.15,804,145,5.07,16.58,18,17
123,28.79,465,121,6.05,16.58,18,21
124,23.03,748,52,5.42,16.58,19,19
125,32.82,473,10,6.46,16.58,20,21
126,14.39,635,952,4.28,16.63,12,16
127,20.73,455,805,5.14,16.63,15,20
128,23.61,508,755,5.48,16.63,16,20
129,23.03,694,597,5.42,16.63,18,20
130,27.06,550,596,5.87,16.63,17,21
131,29.94,555,418,6.17,16.63,18,20
132,16.7,806,379,4.61,16.63,17,16
133,25.91,466,358,5.74,16.63,16,21
134,21.88,748,291,5.28,16.63,18,19
135,25.91,474,247,5.74,16.63,18,21
136,28.21,589,142,5.99,16.63,19,20
137,23.03,643,125,5.42,16.63,18,20
138,25.33,477,64,5.68,16.63,19,20
139,23.03,684,31,5.42,16.63,18,19
140,19.58,688,13,4.99,16.63,18,17
141,22.46,508,923,5.35,16.68,16,20
142,19.58,694,768,4.99,16.68,15,20
143,24.76,551,764,5.61,16.68,16,20
144,24.76,555,589,5.61,16.68,16,21
145,14.39,807,547,4.28,16.68,16,15
146,26.49,467,525,5.81,16.68,17,20
147,24.76,749,460,5.61,16.68,18,19
148,25.91,475,415,5.74,16.68,17,20
149,27.64,589,311,5.93,16.68,18,21
150,24.76,644,295,5.61,16.68,18,19
151,28.79,478,233,6.05,16.68,18,20
152,24.18,684,202,5.55,16.68,17,20
153,20.15,688,182,5.07,16.68,18,17
154,29.36,494,151,6.11,16.68,19,21
155,16.7,697,906,4.61,16.72,15,17
156,24.18,551,901,5.55,16.72,17,20
157,23.61,556,727,5.48,16.72,16,20
158,14.97,807,683,4.37,16.72,16,16
159,21.3,467,663,5.21,16.72,16,20
